"","year","name","unemployment_rate","gdp","population","income","total_area_sq_km","land_area_sq_km","water_area_sq_km","high_school_grad_number","death_rate","death_numbers","percent_in_poverty"
"1","2015","Alabama",6.1,404.417,4852347,53880,135767,131171,4597,1005295,15.7,736,18.5
"2","2015","Alaska",6.3,375.685,737498,90920,1723337,1477953,245383,129324,16,122,10.4
"3","2015","Arizona",6.1,416.411,6829676,63250,295234,294207,1026,1063765,19,1274,17.4
"4","2015","Arkansas",5,414.227,2978048,51810,137732,134771,2961,685277,13.8,392,18.7
"5","2015","California",6.3,446.256,38918045,77030,423967,403466,20501,5231824,11.3,4659,15.4
"6","2015","Colorado",3.7,451.422,5450623,80610,269601,268431,1170,767325,15.4,869,11.5
"7","2015","Connecticut",5.6,402.98,3587122,88230,14357,12542,1816,673973,22.1,800,10.6
"8","2015","Delaware",4.8,428.475,941252,69910,6446,5047,1399,196236,22,198,12.6
"9","2015","District of Columbia",6.9,416.589,675400,84820,177,158,19,81697,NA,NA,17.7
"10","2015","Florida",5.5,437.865,20209042,59100,170312,138887,31424,4074252,16.2,3228,15.8
"11","2015","Georgia",6.1,436.999,10178447,61450,153910,148959,4951,1845924,12.7,1302,17.2
"12","2015","Hawaii",3.4,422.052,1422052,78090,28313,16635,11678,268336,11.3,169,10.7
"13","2015","Idaho",3.9,432.626,1651059,62490,216443,214045,2398,283236,14.2,218,14.7
"14","2015","Illinois",6,413.962,12858913,73130,149995,143793,6202,2308309,14.1,1835,13.6
"15","2015","Indiana",4.8,417.62,6608422,62930,94326,92789,1537,1494302,19.5,1245,14.4
"16","2015","Iowa",3.7,431.76,3120960,73660,145746,144669,1077,660248,10.3,309,12.1
"17","2015","Kansas",4.2,419.722,2909011,66410,213100,211754,1346,505583,11.8,329,12.9
"18","2015","Kentucky",5.2,410.716,4425976,51310,104656,102269,2387,993853,29.9,1273,18.3
"19","2015","Louisiana",6.3,395.975,4664628,55590,135659,111898,23761,1031156,19,861,19.5
"20","2015","Maine",4.4,405.559,1328262,61440,91633,79883,11750,316556,21.2,269,13.2
"21","2015","Maryland",5,418.8,5985562,89090,32131,25142,6990,1026600,20.9,1285,9.9
"22","2015","Massachusetts",4.8,422.708,6794228,82150,27336,20202,7134,1169375,25.7,1724,11.5
"23","2015","Michigan",5.4,420.005,9931715,65610,250487,146435,104052,1988382,20.4,1980,15.7
"24","2015","Minnesota",3.8,427.6,5482032,83200,225163,206232,18930,946686,10.6,581,10.2
"25","2015","Mississippi",6.5,400.135,2988471,48460,125438,121531,3907,587586,12.3,351,22.1
"26","2015","Missouri",5.1,411.027,6071732,71660,180540,178040,2501,1266920,17.9,1066,14.8
"27","2015","Montana",4.3,428.86,1030475,62210,380831,376962,3869,208026,13.8,138,14.4
"28","2015","Nebraska",3,433.781,1891277,73200,200330,198974,1356,334449,6.9,126,12.2
"29","2015","Nevada",6.8,421.76,2866939,62960,286380,284332,2048,532115,20.4,619,14.9
"30","2015","New Hampshire",3.4,420.698,1336350,91600,24214,23187,1027,266443,34.3,422,8.4
"31","2015","New Jersey",5.7,409.868,8867949,82750,22591,19047,3544,1741562,16.3,1454,10.8
"32","2015","New Mexico",6.6,408.08,2089291,54620,314917,314161,757,361324,25.3,501,19.8
"33","2015","New York",5.2,413.675,19654666,70210,141297,122057,19240,3588894,13.6,2754,15.5
"34","2015","North Carolina",5.7,426.961,10031646,61490,139391,125920,13471,1755995,15.8,1567,16.4
"35","2015","North Dakota",2.8,436.346,754066,69500,183108,178711,4397,128248,8.6,61,10.7
"36","2015","Ohio",5,424.27,11617527,64520,116098,105829,10269,2669316,29.9,3310,14.8
"37","2015","Oklahoma",4.3,450.774,3909500,56990,181037,177660,3377,796141,19,725,16
"38","2015","Oregon",5.5,435.131,4015792,73640,254799,248608,6191,659119,12,505,15.2
"39","2015","Pennsylvania",5.4,421.324,12784826,73100,119280,115883,3397,3207989,26.3,3264,13.1
"40","2015","Rhode Island",6,409.585,1056065,67430,4001,2678,1324,196988,28.2,310,14.1
"41","2015","South Carolina",5.9,432.434,4891938,56120,82933,77857,5076,955658,15.7,761,16.8
"42","2015","South Dakota",3,416.064,853988,66660,199729,196350,3379,172522,8.4,65,13.5
"43","2015","Tennessee",5.6,425.343,6591170,57290,109153,106798,2355,1445466,22.2,1457,16.7
